anchor_start,anchor_end,cause_start,cause_end,modifier,raw_line
E881,E881,G238,G419,,G238 - G419
E881,E881,G450,G459,,G450 - G459
E881,E881,G600,G835,,G600 - G835
E881,E881,G838,G839,,G838 - G839
E881,E881,G930,G98,,G930 - G98
E881,E881,I600,I698,,I600 - I698
E881,E881,J200,J47,,J200 - J47
E881,E881,J680,J709,,J680 - J709
E881,E881,J850,J949,,J850 - J949
E881,E881,J987,J987,,J987
E881,E881,K223,K223,,K223
E881,E881,K250,K289,,K250 - K289
E881,E881,K560,K599,,K560 - K599
E881,E881,K700,K929,,K700 - K929
E881,E881,L871,L871,,L871
E881,E881,L932,L932,,L932
E881,E881,M050,M120,,M050 - M120
E881,E881,M242,M242,,M242
E881,E881,M300,M359,,M300 - M359
E881,E881,M470,M471,,M470 - M471
E881,E881,M500,M500,,M500
E881,E881,M510,M510,,M510
E881,E881,M793,M793,,M793
E881,E881,N000,N399,,N000 - N399
E881,E881,Q750,Q799,,Q750 - Q799
E881,E881,Q998,Q999,,Q998 - Q999
E881,E881,R75,R75,,R75
E881,E881,T200,T329,,T200 - T329
E881,E881,T360,T509,,T360 - T509
E881,E881,T66,T66,,T66
E881,E881,T780,T789,,T780 - T789
E881,E881,T800,T889,,T800 - T889
E881,E881,T950,T96,,T950 - T96
E881,E881,T981,T981,,T981
E881,E881,T983,T983,,T983
E881,E881,U071,U072,,U071 - U072
E881,E881,U099,U109,,U099 - U109
E881,E881,U129,U129,,U129
E881,E881,Y400,Y599,,Y400 - Y599
E881,E881,Y880,Y880,,Y880
E882,E882,A000,A969,,A000 - A969
E882,E882,A970,A979,,A970 - A979
E882,E882,A980,E882,,A980 - E882
E882,E882,E888,E899,,E888 - E899
E882,E882,G000,G232,,G000 - G232
E882,E882,G238,G419,,G238 - G419
E882,E882,G450,G459,,G450 - G459
E882,E882,G600,G835,,G600 - G835
E882,E882,G838,G839,,G838 - G839
E882,E882,G930,G98,,G930 - G98
E882,E882,I600,I698,,I600 - I698
E882,E882,J200,J47,,J200 - J47
E882,E882,J680,J709,,J680 - J709
E882,E882,J987,J987,,J987
E882,E882,K223,K223,,K223
E882,E882,K250,K289,,K250 - K289
E882,E882,K560,K599,,K560 - K599
E882,E882,K700,K929,,K700 - K929
E882,E882,L871,L871,,L871
E882,E882,L932,L932,,L932
E882,E882,M050,M120,,M050 - M120
E882,E882,M242,M242,,M242
E882,E882,M300,M359,,M300 - M359
E882,E882,M470,M471,,M470 - M471
E882,E882,M500,M500,,M500
E882,E882,M510,M510,,M510
E882,E882,M793,M793,,M793
E882,E882,N000,N399,,N000 - N399
E882,E882,Q750,Q799,,Q750 - Q799
E882,E882,Q998,Q999,,Q998 - Q999
E882,E882,R75,R75,,R75
E882,E882,T200,T329,,T200 - T329
E882,E882,T360,T509,,T360 - T509
E882,E882,T66,T66,,T66
E882,E882,T780,T789,,T780 - T789
E882,E882,T800,T889,,T800 - T889
E882,E882,T950,T96,,T950 - T96
E882,E882,T981,T981,,T981
E882,E882,T983,T983,,T983
E882,E882,U071,U072,,U071 - U072
E882,E882,U099,U109,,U099 - U109
E882,E882,U129,U129,,U129
E882,E882,Y400,Y599,,Y400 - Y599
E882,E882,Y880,Y880,,Y880
E883,E883,C000,C969,,C000 - C969
E883,E883,E883,E883,,E883
E883,E883,T451,T451,,T451
E883,E883,T96,T96,,T96
E883,E883,Y427,Y427,,Y427
E883,E883,Y433,Y433,,Y433
E883,E883,Y842,Y842,,Y842
E883,E883,Y881,Y881,,Y881
E888,E888,A000,A969,,A000 - A969
E888,E888,A970,A979,,A970 - A979
E888,E888,A980,D489,,A980 - D489
E888,E888,E000,E882,,E000 - E882
E888,E888,E888,F199,,E888 - F199
E888,E888,F320,F439,,F320 - F439
E888,E888,I10,I259,,I10  - I259
E888,E888,I440,I469,,I440 - I469
E888,E888,I600,I709,,I600 - I709
E888,E888,I776,I776,,I776
E888,E888,J00,J329,,J00  - J329
E888,E888,J36,J989,,J36  - J989
E888,E888,K20,K919,,K20  - K919
E888,E888,N000,N289,,N000 - N289
E888,E888,P000,Q999,,P000 - Q999
E888,E888,R630,R630,,R630
E888,E888,R633,R634,,R633 - R634
E888,E888,R75,R75,,R75
E888,E888,S000,U049,,S000 - U049
E888,E888,U071,U079,,U071 - U079
E888,E888,U099,U109,,U099 - U109
E888,E888,U129,Y98,,U129 - Y98
E889,E889,A000,D489,,A000 - D489
E889,E889,D750,D759,,D750 - D759
E889,E889,E000,F199,,E000 - F199
E889,E889,F320,F439,,F320 - F439
E889,E889,G300,G309,,G300 - G309
E889,E889,I10,I259,,I10  - I259
E889,E889,I440,I469,,I440 - I469
E889,E889,I600,I709,,I600 - I709
E889,E889,I776,I776,,I776
E889,E889,J00,J329,,J00  - J329
E889,E889,J36,J989,,J36  - J989
E889,E889,K000,L089,,K000 - L089
E889,E889,L200,L309,,L200 - L309
E889,E889,L890,L899,,L890 - L899
E889,E889,L950,L97,,L950 - L97
E889,E889,L984,L984,,L984
E889,E889,N000,N289,,N000 - N289
E889,E889,P000,Q999,,P000 - Q999
E889,E889,R628,R628,,R628
E889,E889,R630,R630,,R630
E889,E889,R633,R634,,R633 - R634
E889,E889,R64,R64,,R64
E889,E889,R75,R75,,R75
E889,E889,S000,U049,,S000 - U049
E889,E889,U071,U079,,U071 - U079
E889,E889,U099,U109,,U099 - U109
E889,E889,U129,Y98,,U129 - Y98
E890,E898,A000,U079,,A000 - U079
E890,E898,U099,U109,,U099 - U109
E890,E898,U129,Y98,,U129 - Y98
E899,E899,A000,E899,,A000 - E899
E899,E899,F010,U079,,F010 - U079
E899,E899,U099,U109,,U099 - U109
E899,E899,U129,Y98,,U129 - Y98
E90,E90,E90,E90,,E90
F000,F000,F000,F000,,F000
F000,F000,U129,U129,,U129
F001,F001,F001,F001,,F001
F001,F001,U129,U129,,U129
F002,F002,F002,F002,,F002
F002,F002,U129,U129,,U129
F009,F009,F009,F009,,F009
F009,F009,U129,U129,,U129
F010,F010,A000,A099,,A000 - A099
F010,F010,A170,A180,,A170 - A180
F010,F010,A199,E899,,A199 - E899
F010,F010,F010,F019,,F010 - F019
F010,F010,F069,F069,,F069
F010,F010,F100,F199,,F100 - F199
F010,F010,G000,G060,,G000 - G060
F010,F010,G08,G09,,G08  - G09
F010,F010,G473,G473,,G473
F010,F010,G934,G936,,G934 - G936
F010,F010,G938,G939,,G938 - G939
F010,F010,H000,I029,,H000 - I029
F010,F010,I090,I090,,I090
F010,F010,I092,I319,,I092 - I319
F010,F010,I513,I789,,I513 - I789
F010,F010,I800,J80,,I800 - J80
F010,F010,J82,J980,,J82  - J980
F010,F010,J982,J989,,J982 - J989
F010,F010,L020,L039,,L020 - L039
F010,F010,M000,M199,,M000 - M199
F010,F010,M320,M359,,M320 - M359
F010,F010,M810,M819,,M810 - M819
F010,F010,M844,M844,,M844
F010,F010,M852,M853,,M852 - M853
F010,F010,M856,M856,,M856
F010,F010,M878,M878,,M878
F010,F010,M890,M890,,M890
F010,F010,M940,M940,,M940
F010,F010,N000,N399,,N000 - N399
F010,F010,N430,N434,,N430 - N434
F010,F010,N450,N459,,N450 - N459
F010,F010,N47,N489,,N47  - N489
F010,F010,N600,N959,,N600 - N959
F010,F010,N990,N999,,N990 - N999
F010,F010,O033,O033,,O033
F010,F010,O038,O038,,O038
F010,F010,O043,O043,,O043
F010,F010,O048,O048,,O048
F010,F010,O053,O053,,O053
F010,F010,O058,O058,,O058
F010,F010,O063,O063,,O063
F010,F010,O068,O068,,O068
F010,F010,O073,O073,,O073
F010,F010,O078,O078,,O078
F010,F010,O087,O087,,O087
F010,F010,O223,O223,,O223
F010,F010,O229,O229,,O229
F010,F010,O600,O849,,O600 - O849
F010,F010,O871,O871,,O871
F010,F010,O879,O879,,O879
F010,F010,O994,O994,,O994
F010,F010,P000,P049,,P000 - P049
F010,F010,P100,Q379,,P100 - Q379
F010,F010,Q500,Q649,,Q500 - Q649
F010,F010,Q850,Q999,,Q850 - Q999
F010,F010,R02,R030,,R02  - R030
F010,F010,R040,R049,,R040 - R049
F010,F010,R060,R068,,R060 - R068
F010,F010,R090,R090,,R090
F010,F010,R092,R092,,R092
F010,F010,R098,R098,,R098
F010,F010,R31,R31,,R31
F010,F010,R33,R34,,R33  - R34
F010,F010,R392,R392,,R392
F010,F010,R502,R509,,R502 - R509
F010,F010,R54,R54,,R54
F010,F010,R560,R5800,,R560 - R5800
F010,F010,R600,R609,,R600 - R609
F010,F010,R75,R75,,R75
F010,F010,R780,R780,,R780
F010,F010,R788,R788,,R788
F010,F010,R790,R790,,R790
F010,F010,R80,R829,,R80  - R829
F010,F010,R893,R893,,R893
F010,F010,R900,R91,,R900 - R91
F010,F010,R930,R930,,R930
F010,F010,U070,U072,,U070 - U072
F010,F010,U099,U109,,U099 - U109
F010,F010,U129,U129,,U129
F011,F011,A000,A099,,A000 - A099
F011,F011,A170,A180,,A170 - A180
F011,F011,A199,E899,,A199 - E899
F011,F011,F010,F019,,F010 - F019
F011,F011,F069,F069,,F069
F011,F011,F100,F199,,F100 - F199
F011,F011,G000,G060,,G000 - G060
F011,F011,G08,G09,,G08  - G09
F011,F011,G450,G459,,G450 - G459
F011,F011,G473,G473,,G473
F011,F011,G934,G936,,G934 - G936
F011,F011,G938,G939,,G938 - G939
F011,F011,H000,I029,,H000 - I029
F011,F011,I090,I090,,I090
F011,F011,I092,I319,,I092 - I319
F011,F011,I513,I789,,I513 - I789
F011,F011,I800,J80,,I800 - J80
F011,F011,J82,J980,,J82  - J980
F011,F011,J982,J989,,J982 - J989
F011,F011,L020,L039,,L020 - L039
F011,F011,M000,M199,,M000 - M199
F011,F011,M320,M359,,M320 - M359
F011,F011,M810,M819,,M810 - M819
F011,F011,M844,M844,,M844
F011,F011,M852,M853,,M852 - M853
F011,F011,M856,M856,,M856
F011,F011,M878,M878,,M878
F011,F011,M890,M890,,M890
F011,F011,M940,M940,,M940
F011,F011,N000,N399,,N000 - N399
F011,F011,N430,N434,,N430 - N434
F011,F011,N450,N459,,N450 - N459
F011,F011,N47,N489,,N47  - N489
F011,F011,N600,N959,,N600 - N959
F011,F011,N990,N999,,N990 - N999
F011,F011,O033,O033,,O033
F011,F011,O038,O038,,O038
F011,F011,O043,O043,,O043
F011,F011,O048,O048,,O048
F011,F011,O053,O053,,O053
F011,F011,O058,O058,,O058
F011,F011,O063,O063,,O063
F011,F011,O068,O068,,O068
F011,F011,O073,O073,,O073
F011,F011,O078,O078,,O078
F011,F011,O087,O087,,O087
F011,F011,O223,O223,,O223
F011,F011,O229,O229,,O229
F011,F011,O600,O849,,O600 - O849
F011,F011,O871,O871,,O871
F011,F011,O879,O879,,O879
F011,F011,O994,O994,,O994
F011,F011,P000,P049,,P000 - P049
F011,F011,P100,Q379,,P100 - Q379
F011,F011,Q500,Q649,,Q500 - Q649
F011,F011,Q850,Q999,,Q850 - Q999
F011,F011,R02,R030,,R02  - R030
F011,F011,R040,R049,,R040 - R049
F011,F011,R060,R068,,R060 - R068
F011,F011,R090,R090,,R090
F011,F011,R092,R092,,R092
F011,F011,R098,R098,,R098
F011,F011,R31,R31,,R31
F011,F011,R33,R34,,R33  - R34
F011,F011,R392,R392,,R392
F011,F011,R502,R509,,R502 - R509
F011,F011,R54,R54,,R54
F011,F011,R560,R5800,,R560 - R5800
F011,F011,R600,R609,,R600 - R609
F011,F011,R75,R75,,R75
F011,F011,R780,R780,,R780
F011,F011,R788,R788,,R788
F011,F011,R790,R790,,R790
F011,F011,R80,R829,,R80  - R829
F011,F011,R893,R893,,R893
F011,F011,R900,R91,,R900 - R91
F011,F011,R930,R930,,R930
F011,F011,U070,U072,,U070 - U072
F011,F011,U099,U109,,U099 - U109
F011,F011,U129,U129,,U129
F012,F018,A000,A099,,A000 - A099
F012,F018,A170,A180,,A170 - A180
F012,F018,A199,E899,,A199 - E899
F012,F018,F010,F019,,F010 - F019
F012,F018,F069,F069,,F069
F012,F018,F100,F199,,F100 - F199
F012,F018,G000,G060,,G000 - G060
F012,F018,G08,G09,,G08  - G09
F012,F018,G473,G473,,G473
F012,F018,G934,G936,,G934 - G936
F012,F018,G938,G939,,G938 - G939
F012,F018,H000,I029,,H000 - I029
F012,F018,I090,I090,,I090
F012,F018,I092,I319,,I092 - I319
F012,F018,I513,I789,,I513 - I789
F012,F018,I800,J80,,I800 - J80
F012,F018,J82,J980,,J82  - J980
F012,F018,J982,J989,,J982 - J989
F012,F018,L020,L039,,L020 - L039
F012,F018,M000,M199,,M000 - M199
F012,F018,M320,M359,,M320 - M359
F012,F018,M810,M819,,M810 - M819
F012,F018,M844,M844,,M844
F012,F018,M852,M853,,M852 - M853
F012,F018,M856,M856,,M856
F012,F018,M878,M878,,M878
F012,F018,M890,M890,,M890
F012,F018,M940,M940,,M940
F012,F018,N000,N399,,N000 - N399
F012,F018,N430,N434,,N430 - N434
F012,F018,N450,N459,,N450 - N459
F012,F018,N47,N489,,N47  - N489
F012,F018,N600,N959,,N600 - N959
F012,F018,N990,N999,,N990 - N999
F012,F018,O033,O033,,O033
F012,F018,O038,O038,,O038
F012,F018,O043,O043,,O043
F012,F018,O048,O048,,O048
F012,F018,O053,O053,,O053
F012,F018,O058,O058,,O058
F012,F018,O063,O063,,O063
F012,F018,O068,O068,,O068
F012,F018,O073,O073,,O073
F012,F018,O078,O078,,O078
F012,F018,O087,O087,,O087
F012,F018,O223,O223,,O223
F012,F018,O229,O229,,O229
F012,F018,O600,O849,,O600 - O849
F012,F018,O871,O871,,O871
F012,F018,O879,O879,,O879
F012,F018,O994,O994,,O994
F012,F018,P000,P049,,P000 - P049
F012,F018,P100,Q379,,P100 - Q379
F012,F018,Q500,Q649,,Q500 - Q649
F012,F018,Q850,Q999,,Q850 - Q999
F012,F018,R02,R030,,R02  - R030
F012,F018,R040,R049,,R040 - R049
F012,F018,R060,R068,,R060 - R068
F012,F018,R090,R090,,R090
F012,F018,R092,R092,,R092
F012,F018,R098,R098,,R098
F012,F018,R31,R31,,R31
F012,F018,R33,R34,,R33  - R34
F012,F018,R392,R392,,R392
F012,F018,R502,R509,,R502 - R509
F012,F018,R54,R54,,R54
F012,F018,R560,R5800,,R560 - R5800
F012,F018,R600,R609,,R600 - R609
F012,F018,R75,R75,,R75
F012,F018,R780,R780,,R780
F012,F018,R788,R788,,R788
F012,F018,R790,R790,,R790
F012,F018,R80,R829,,R80  - R829
F012,F018,R893,R893,,R893
F012,F018,R900,R91,,R900 - R91
F012,F018,R930,R930,,R930
F012,F018,U070,U072,,U070 - U072
F012,F018,U099,U109,,U099 - U109
F012,F018,U129,U129,,U129
F019,F019,A000,A099,,A000 - A099
F019,F019,A170,A180,,A170 - A180
F019,F019,A199,E899,,A199 - E899
F019,F019,F010,F019,,F010 - F019
F019,F019,F069,F069,,F069
F019,F019,F100,F199,,F100 - F199
F019,F019,G000,G060,,G000 - G060
F019,F019,G08,G09,,G08  - G09
F019,F019,G450,G459,,G450 - G459
F019,F019,G473,G473,,G473
F019,F019,G934,G936,,G934 - G936
F019,F019,G938,G939,,G938 - G939
F019,F019,H000,I029,,H000 - I029
F019,F019,I090,I090,,I090
F019,F019,I092,I319,,I092 - I319
F019,F019,I513,I789,,I513 - I789
F019,F019,I800,J80,,I800 - J80
F019,F019,J82,J980,,J82  - J980
F019,F019,J982,J989,,J982 - J989
F019,F019,L020,L039,,L020 - L039
F019,F019,M000,M199,,M000 - M199
F019,F019,M320,M359,,M320 - M359
F019,F019,M810,M819,,M810 - M819
F019,F019,M844,M844,,M844
F019,F019,M852,M853,,M852 - M853
F019,F019,M856,M856,,M856
F019,F019,M878,M878,,M878
F019,F019,M890,M890,,M890
F019,F019,M940,M940,,M940
F019,F019,N000,N399,,N000 - N399
F019,F019,N430,N434,,N430 - N434
F019,F019,N450,N459,,N450 - N459
F019,F019,N47,N489,,N47  - N489
F019,F019,N600,N959,,N600 - N959
F019,F019,N990,N999,,N990 - N999
F019,F019,O033,O033,,O033
F019,F019,O038,O038,,O038
F019,F019,O043,O043,,O043
F019,F019,O048,O048,,O048
F019,F019,O053,O053,,O053
F019,F019,O058,O058,,O058
F019,F019,O063,O063,,O063
F019,F019,O068,O068,,O068
F019,F019,O073,O073,,O073
F019,F019,O078,O078,,O078
F019,F019,O087,O087,,O087
F019,F019,O223,O223,,O223
F019,F019,O229,O229,,O229
F019,F019,O600,O849,,O600 - O849
F019,F019,O871,O871,,O871
F019,F019,O879,O879,,O879
F019,F019,O994,O994,,O994
F019,F019,P000,P049,,P000 - P049
F019,F019,P100,Q379,,P100 - Q379
F019,F019,Q500,Q649,,Q500 - Q649
F019,F019,Q850,Q999,,Q850 - Q999
F019,F019,R02,R030,,R02  - R030
F019,F019,R040,R049,,R040 - R049
F019,F019,R060,R068,,R060 - R068
F019,F019,R090,R090,,R090
F019,F019,R092,R092,,R092
F019,F019,R098,R098,,R098
F019,F019,R31,R31,,R31
F019,F019,R33,R34,,R33  - R34
F019,F019,R392,R392,,R392
F019,F019,R502,R509,,R502 - R509
F019,F019,R54,R54,,R54
F019,F019,R560,R5800,,R560 - R5800
F019,F019,R600,R609,,R600 - R609
F019,F019,R75,R75,,R75
F019,F019,R780,R780,,R780
F019,F019,R788,R788,,R788
F019,F019,R790,R790,,R790
F019,F019,R80,R829,,R80  - R829
F019,F019,R893,R893,,R893
F019,F019,R900,R91,,R900 - R91
F019,F019,R930,R930,,R930
F019,F019,U070,U072,,U070 - U072
F019,F019,U099,U109,,U099 - U109
F019,F019,U129,U129,,U129
F020,F020,F020,F020,,F020
F020,F020,U129,U129,,U129
F021,F021,F021,F021,,F021
F021,F021,U129,U129,,U129
F022,F022,F022,F022,,F022
F022,F022,U129,U129,,U129
F023,F023,F023,F023,,F023
F023,F023,U129,U129,,U129
F024,F024,F024,F024,,F024
F024,F024,U129,U129,,U129
F028,F028,F028,F028,,F028
F028,F028,U129,U129,,U129
F03,F03,A000,A099,,A000 - A099
F03,F03,A170,A180,,A170 - A180
F03,F03,A199,E281,,A199 - E281
F03,F03,E283,E531,,E283 - E531
F03,F03,E538,E538,M,E538         M
F03,F03,E539,E899,,E539 - E899
F03,F03,F010,F019,,F010 - F019
F03,F03,F03,F03,,F03
F03,F03,F069,F069,,F069
F03,F03,F100,F209,,F100 - F209
F03,F03,G000,G060,,G000 - G060
F03,F03,G08,G10,,G08  - G10
F03,F03,G20,G2000,,G20  - G2000
F03,F03,G214,G214,,G214
F03,F03,G300,G360,,G300 - G360
F03,F03,G370,G409,,G370 - G409
F03,F03,G450,G459,,G450 - G459
F03,F03,G473,G473,,G473
F03,F03,G934,G936,,G934 - G936
F03,F03,G938,G939,,G938 - G939
F03,F03,H000,I319,,H000 - I319
F03,F03,I330,I459,,I330 - I459
F03,F03,I470,I489,,I470 - I489
F03,F03,I513,I789,,I513 - I789
F03,F03,I800,J80,,I800 - J80
F03,F03,J82,J980,,J82  - J980
F03,F03,J982,J989,,J982 - J989
F03,F03,K721,K721,,K721
F03,F03,L020,L039,,L020 - L039
F03,F03,M000,M199,,M000 - M199
F03,F03,M300,M301,,M300 - M301
F03,F03,M308,M308,,M308
F03,F03,M320,M359,,M320 - M359
F03,F03,M810,M819,,M810 - M819
F03,F03,M844,M844,,M844
F03,F03,M852,M853,,M852 - M853
F03,F03,M856,M856,,M856
F03,F03,M878,M878,,M878
F03,F03,M890,M890,,M890
F03,F03,M940,M940,,M940
F03,F03,N000,N399,,N000 - N399
F03,F03,N430,N434,,N430 - N434
F03,F03,N450,N459,,N450 - N459
F03,F03,N47,N489,,N47  - N489
F03,F03,N600,N959,,N600 - N959
F03,F03,N990,N999,,N990 - N999
F03,F03,O033,O033,,O033
F03,F03,O038,O038,,O038
F03,F03,O043,O043,,O043
F03,F03,O048,O048,,O048
F03,F03,O053,O053,,O053
F03,F03,O058,O058,,O058
F03,F03,O063,O063,,O063
F03,F03,O068,O068,,O068
F03,F03,O073,O073,,O073
F03,F03,O078,O078,,O078
F03,F03,O087,O087,,O087
F03,F03,O223,O223,,O223
F03,F03,O229,O229,,O229
F03,F03,O600,O849,,O600 - O849
F03,F03,O871,O871,,O871
F03,F03,O879,O879,,O879
F03,F03,O994,O994,,O994
F03,F03,P000,P049,,P000 - P049
F03,F03,P100,Q379,,P100 - Q379
F03,F03,Q500,Q649,,Q500 - Q649
F03,F03,Q850,Q999,,Q850 - Q999
F03,F03,R02,R030,,R02  - R030
F03,F03,R040,R049,,R040 - R049
F03,F03,R060,R068,,R060 - R068
F03,F03,R090,R090,,R090
F03,F03,R092,R092,,R092
F03,F03,R098,R098,,R098
F03,F03,R31,R31,,R31
F03,F03,R33,R34,,R33  - R34
F03,F03,R392,R392,,R392
F03,F03,R502,R509,,R502 - R509
F03,F03,R54,R54,,R54
F03,F03,R560,R5800,,R560 - R5800
F03,F03,R600,R609,,R600 - R609
F03,F03,R75,R75,,R75
F03,F03,R780,R780,,R780
F03,F03,R788,R788,,R788
F03,F03,R790,R790,,R790
F03,F03,R80,R829,,R80  - R829
F03,F03,R893,R893,,R893
F03,F03,R900,R91,,R900 - R91
F03,F03,R930,R930,,R930
F03,F03,S020,S029,,S020 - S029
F03,F03,S060,S099,,S060 - S099
F03,F03,S150,S159,,S150 - S159
F03,F03,T020,T020,,T020
F03,F03,T040,T040,,T040
F03,F03,T060,T060,M,T060         M
F03,F03,T520,T539,,T520 - T539
F03,F03,T900,T909,,T900 - T909
F03,F03,U070,U072,,U070 - U072
F03,F03,U099,U109,,U099 - U109
F03,F03,U129,U129,,U129
F04,F04,A000,E243,,A000 - E243
F04,F04,E248,F09,,E248 - F09
F04,F04,F200,G311,,F200 - G311
F04,F04,G318,G620,,G318 - G620
F04,F04,G622,G720,,G622 - G720
F04,F04,G722,G98,,G722 - G98
F04,F04,I00,I4250,,I00  - I4250
F04,F04,I427,J989,,I427 - J989
F04,F04,K20,K291,,K20  - K291
F04,F04,K293,K669,,K293 - K669
F04,F04,K710,K851,,K710 - K851
F04,F04,K853,K859,,K853 - K859
F04,F04,K861,L109,,K861 - L109
F04,F04,L129,L449,,L129 - L449
F04,F04,L510,L599,,L510 - L599
F04,F04,L710,L719,,L710 - L719
F04,F04,L88,L88,,L88
F04,F04,L920,L920,,L920
F04,F04,L928,L932,,L928 - L932
F04,F04,L951,L951,,L951
F04,F04,L980,L981,,L980 - L981
F04,F04,M000,N459,,M000 - N459
F04,F04,N490,N809,,N490 - N809
F04,F04,N990,N992,,N990 - N992
F04,F04,N994,Q999,,N994 - Q999
F04,F04,R263,R263,,R263
F04,F04,R54,R54,,R54
F04,F04,R75,R75,,R75
F04,F04,S010,S029,,S010 - S029
F04,F04,S040,S050,,S040 - S050
F04,F04,S052,S099,,S052 - S099
F04,F04,S110,S129,,S110 - S129
F04,F04,S140,S199,,S140 - S199
F04,F04,S210,S229,,S210 - S229
F04,F04,S240,S299,,S240 - S299
F04,F04,S310,S328,,S310 - S328
F04,F04,S340,S399,,S340 - S399
F04,F04,S410,S429,,S410 - S429
F04,F04,S440,S499,,S440 - S499
F04,F04,S510,S529,,S510 - S529
F04,F04,S540,S599,,S540 - S599
F04,F04,S610,S628,,S610 - S628
F04,F04,S640,S699,,S640 - S699
F04,F04,S710,S729,,S710 - S729
F04,F04,S740,S799,,S740 - S799
F04,F04,S810,S829,,S810 - S829
F04,F04,S840,S899,,S840 - S899
F04,F04,S910,S929,,S910 - S929
F04,F04,S940,S999,,S940 - S999
F04,F04,T012,T029,,T012 - T029
F04,F04,T041,T08,,T041 - T08
F04,F04,T091,T091,,T091
F04,F04,T093,T10,,T093 - T10
F04,F04,T111,T111,,T111
F04,F04,T113,T12,,T113 - T12
F04,F04,T131,T131,,T131
F04,F04,T133,T139,,T133 - T139
F04,F04,T141,T142,,T141 - T142
F04,F04,T144,T329,,T144 - T329
F04,F04,T340,T349,,T340 - T349
F04,F04,T351,T399,,T351 - T399
F04,F04,T410,T422,,T410 - T422
F04,F04,T425,T428,,T425 - T428
F04,F04,T440,T509,,T440 - T509
F04,F04,T520,T889,,T520 - T889
F04,F04,T901,T922,,T901 - T922
F04,F04,T924,T932,,T924 - T932
F04,F04,T934,U079,,T934 - U079
F04,F04,U099,U109,,U099 - U109
F04,F04,U129,X40,,U129 - X40
F04,F04,X43,X44,,X43  - X44
F04,F04,X46,Y449,,X46  - Y449
F04,F04,Y451,Y468,,Y451 - Y468
F04,F04,Y480,Y485,,Y480 - Y485
F04,F04,Y500,Y98,,Y500 - Y98
F050,F050,A000,B99,,A000 - B99
F050,F050,E000,F069,,E000 - F069
F050,F050,F09,F349,,F09  - F349
F050,F050,F840,F849,,F840 - F849
F050,F050,G000,G09,,G000 - G09
F050,F050,H600,H709,,H600 - H709
F050,F050,I00,I019,,I00  - I019
F050,F050,J09,J189,,J09  - J189
F050,F050,J300,J329,,J300 - J329
F050,F050,J340,J341,,J340 - J341
F050,F050,J348,J350,,J348 - J350
F050,F050,J36,J371,,J36  - J371
F050,F050,J385,J392,,J385 - J392
F050,F050,J40,J42,,J40  - J42
F050,F050,N000,N10,,N000 - N10
F050,F050,N12,N12,,N12
F050,F050,N136,N136,,N136
F050,F050,N140,N159,,N140 - N159
F050,F050,N288,N288,,N288
F050,F050,N300,N309,,N300 - N309
F050,F050,N340,N343,,N340 - N343
F050,F050,N351,N351,,N351
F050,F050,N410,N419,,N410 - N419
F050,F050,N450,N459,,N450 - N459
F050,F050,N61,N61,,N61
F050,F050,N700,N809,,N700 - N809
F050,F050,R75,R75,,R75
F050,F050,T360,T659,,T360 - T659
F050,F050,T97,T97,,T97
F050,F050,U070,U072,,U070 - U072
F050,F050,U099,U109,,U099 - U109
F050,F050,U129,U129,,U129
F050,F050,X40,X49,,X40  - X49
F050,F050,X60,X69,,X60  - X69
F050,F050,X85,X90,,X85  - X90
F050,F050,Y10,Y19,,Y10  - Y19
F050,F050,Y86,Y872,,Y86  - Y872
F051,F051,F010,F019,,F010 - F019
F051,F051,F03,F03,,F03
F051,F051,F051,F051,,F051
F051,F051,F100,F199,,F100 - F199
F051,F051,G311,G311,,G311
F051,F051,R54,R54,,R54
F051,F051,T360,T659,,T360 - T659
F051,F051,T97,T97,,T97
F051,F051,U070,U072,,U070 - U072
F051,F051,U099,U109,,U099 - U109
F051,F051,U129,U129,,U129
F051,F051,X40,X49,,X40  - X49
F051,F051,X60,X69,,X60  - X69
F051,F051,X85,X90,,X85  - X90
F051,F051,Y10,Y19,,Y10  - Y19
F051,F051,Y86,Y872,,Y86  - Y872
F058,F059,A000,A310,,A000 - A310
F058,F059,A318,A427,,A318 - A427
F058,F059,A429,A529,,A429 - A529
F058,F059,A539,A599,,A539 - A599
F058,F059,A601,A609,,A601 - A609
F058,F059,A638,A70,,A638 - A70
F058,F059,A748,B001,,A748 - B001
F058,F059,B003,B004,,B003 - B004
F058,F059,B007,B007,,B007
F058,F059,B009,B069,,B009 - B069
F058,F059,B080,B080,,B080
F058,F059,B082,B085,,B082 - B085
F058,F059,B09,B279,,B09  - B279
F058,F059,B330,B349,,B330 - B349
F058,F059,B370,B839,,B370 - B839
F058,F059,B86,E279,,B86  - E279
F058,F059,E282,E282,,E282
F058,F059,E310,E342,,E310 - E342
F058,F059,E348,E649,,E348 - E649
F058,F059,E660,F066,,E660 - F066
F058,F059,F068,F319,,F068 - F319
F058,F059,F322,F329,,F322 - F329
F058,F059,F332,F333,,F332 - F333
F058,F059,F338,F449,,F338 - F449
F058,F059,F480,F500,,F480 - F500
F058,F059,F502,F502,,F502
F058,F059,F531,F59,,F531 - F59
F058,F059,F70,F70,,F70
F058,F059,F701,F71,,F701 - F71
F058,F059,F711,F799,,F711 - F799
F058,F059,F900,F929,,F900 - F929
F058,F059,F99,G419,,F99  - G419
F058,F059,G433,G433,,G433
