anchor_start,anchor_end,cause_start,cause_end,modifier,raw_line
A159,A159,A159,A199,,A159 - A199
A159,A159,B200,B24,,B200 - B24
A159,A159,C000,C969,,C000 - C969
A159,A159,D800,D899,,D800 - D899
A159,A159,R75,R75,,R75
A159,A159,Y632,Y632,,Y632
A159,A159,Y842,Y842,,Y842
A160,A160,A160,A199,,A160 - A199
A160,A160,B200,B24,,B200 - B24
A160,A160,C000,C969,,C000 - C969
A160,A160,D800,D899,,D800 - D899
A160,A160,R75,R75,,R75
A160,A160,Y632,Y632,,Y632
A160,A160,Y842,Y842,,Y842
A161,A161,A161,A199,,A161 - A199
A161,A161,B200,B24,,B200 - B24
A161,A161,C000,C969,,C000 - C969
A161,A161,D800,D899,,D800 - D899
A161,A161,R75,R75,,R75
A161,A161,Y632,Y632,,Y632
A161,A161,Y842,Y842,,Y842
A162,A199,A150,A199,,A150 - A199
A162,A199,B200,B24,,B200 - B24
A162,A199,C000,C969,,C000 - C969
A162,A199,D800,D899,,D800 - D899
A162,A199,R75,R75,,R75
A162,A199,Y632,Y632,,Y632
A162,A199,Y842,Y842,,Y842
A200,A200,A200,A200,,A200
A200,A200,A209,A209,,A209
A201,A201,A201,A201,,A201
A201,A201,A209,A209,,A209
A202,A202,A202,A202,,A202
A202,A202,A209,A209,,A209
A203,A203,A203,A203,,A203
A203,A203,A209,A209,,A209
A207,A207,A207,A207,,A207
A207,A207,A209,A209,,A209
A208,A208,A208,A209,,A208 - A209
A209,A209,A209,A209,,A209
A210,A210,A210,A210,,A210
A211,A211,A211,A211,,A211
A212,A212,A212,A212,,A212
A213,A213,A213,A213,,A213
A217,A217,A217,A217,,A217
A218,A218,A218,A218,,A218
A219,A219,A219,A219,,A219
A220,A229,A220,A229,,A220 - A229
A230,A230,A230,A230,,A230
A230,A230,A239,A239,,A239
A231,A231,A231,A231,,A231
A231,A231,A239,A239,,A239
A232,A232,A232,A232,,A232
A232,A232,A239,A239,,A239
A233,A233,A233,A233,,A233
A233,A233,A239,A239,,A239
A238,A238,A238,A239,,A238 - A239
A239,A239,A239,A239,,A239
A240,A269,A000,R002,,A000 - R002
A240,A269,R008,U079,,R008 - U079
A240,A269,U099,U109,,U099 - U109
A240,A269,U129,Y98,,U129 - Y98
A270,A270,A270,A270,,A270
A270,A270,A279,A279,,A279
A278,A278,A278,A279,,A278 - A279
